FrameIndex,Timestamp,FrameTime_ms,FPS,RenderMode
318,0.990105,3.000000,326.043884,Standard
319,0.992912,3.000000,326.043884,Standard
320,0.995866,3.000000,326.043884,Standard
321,0.998580,3.000000,326.043884,Standard
322,1.001480,2.000000,326.043884,Standard
323,1.004082,3.000000,326.043884,Standard
324,1.006805,3.000000,326.043884,Standard
325,1.009575,3.000000,326.043884,Standard
326,1.012288,2.000000,326.043884,Standard
327,1.015131,3.000000,326.043884,Standard
328,1.017877,3.000000,326.043884,Standard
329,1.020454,2.000000,326.043884,Standard
330,1.023126,3.000000,326.043884,Standard
331,1.025712,3.000000,326.043884,Standard
332,1.029596,4.000000,326.043884,Standard
333,1.032367,2.000000,326.043884,Standard
334,1.035135,3.000000,326.043884,Standard
335,1.037947,3.000000,326.043884,Standard
336,1.040590,3.000000,326.043884,Standard
337,1.043620,3.000000,326.043884,Standard
338,1.046406,2.000000,326.043884,Standard
339,1.049369,3.000000,326.043884,Standard
340,1.052172,3.000000,326.043884,Standard
341,1.054908,3.000000,326.043884,Standard
342,1.057624,3.000000,326.043884,Standard
343,1.060731,3.000000,326.043884,Standard
344,1.063674,3.000000,326.043884,Standard
345,1.066357,2.000000,326.043884,Standard
346,1.069160,3.000000,326.043884,Standard
347,1.071883,3.000000,326.043884,Standard
348,1.074690,3.000000,326.043884,Standard
349,1.077584,3.000000,326.043884,Standard
350,1.081088,3.000000,326.043884,Standard
351,1.084158,3.000000,326.043884,Standard
352,1.086841,3.000000,326.043884,Standard
353,1.089717,3.000000,326.043884,Standard
354,1.092604,3.000000,326.043884,Standard
355,1.095289,2.000000,326.043884,Standard
356,1.098213,3.000000,326.043884,Standard
357,1.100962,3.000000,326.043884,Standard
358,1.103669,3.000000,326.043884,Standard
359,1.106663,3.000000,326.043884,Standard
360,1.109464,2.000000,326.043884,Standard
361,1.112230,3.000000,326.043884,Standard
362,1.114877,3.000000,326.043884,Standard
363,1.117526,3.000000,326.043884,Standard
364,1.120646,3.000000,326.043884,Standard
365,1.123264,2.000000,326.043884,Standard
366,1.126287,3.000000,326.043884,Standard
367,1.129107,3.000000,326.043884,Standard
368,1.131979,3.000000,326.043884,Standard
369,1.134631,3.000000,326.043884,Standard
370,1.137613,3.000000,326.043884,Standard
371,1.140807,3.000000,326.043884,Standard
372,1.143909,3.000000,326.043884,Standard
373,1.147059,3.000000,326.043884,Standard
374,1.150328,3.000000,326.043884,Standard
