Model,TotalMs,ParseMs,NodeBuildMs,PrimitiveBuildMs,MaterialSetupMs,AnimationLoadMs,NodeCount,MeshCount,PrimitiveCount,VertexCount,IndexCount
porsche_911_gt3.glb,3175.38,2917.09,18.2195,227.913,16.8299,0.0068,4901,1630,1630,184649,707163
sponza_palace.glb,1685.14,1449.81,0.9152,233.45,75.4127,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,2329.06,2127.41,18.8907,174.499,14.7774,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,1284.07,1074.96,0.6064,207.055,78.5763,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,2895.17,2680.16,13.8174,194.763,17.7732,0.0006,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2410.66,2209.8,14.0596,180.437,19.2953,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,1254.12,1038.21,0.6398,213.645,86.7569,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,2522.48,2307.82,14.9826,193.625,18.3562,0.0008,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2409.69,2193.3,14.8473,194.746,18.7282,0.001,4901,1630,1630,184649,707163
sponza_palace.glb,1372.74,1157.99,0.7175,212.094,83.356,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,2527.65,2323.72,13.3411,184.456,16.0487,0.0005,4901,1630,1630,184649,707163
